CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CYCLE_WIDTH,GeoJSON,geo_point_2d
Bike Lane,,Approved for Construction,Cycling Lanes,,"{""coordinates"": [[-76.4956365, 44.2333178], [-76.4956194, 44.2326698]], ""type"": ""LineString""}","44.2329938, -76.49562795"
Route,,Constructed,,,"{""coordinates"": [[-76.4955422, 44.2564827], [-76.4939786, 44.2565867]], ""type"": ""LineString""}","44.2565347, -76.4947604"
Route,,Constructed,,,"{""coordinates"": [[-76.4971829, 44.2563706], [-76.4955488, 44.2564822]], ""type"": ""LineString""}","44.256426399999995, -76.49636584999999"
Route,,Constructed,,,"{""coordinates"": [[-76.5188397, 44.2213181], [-76.5176046, 44.2213819]], ""type"": ""LineString""}","44.22135, -76.51822215"
Buffered Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,1.5,"{""coordinates"": [[-76.5051331, 44.2383572], [-76.5031855, 44.2375501]], ""type"": ""LineString""}","44.23795365, -76.5041593"
Buffered Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,1.5,"{""coordinates"": [[-76.502982, 44.237467], [-76.502039, 44.2370754]], ""type"": ""LineString""}","44.2372712, -76.5025105"
Buffered Bike Lane,Diamond Symbol,Constructed,Cycling Lanes,1.5,"{""coordinates"": [[-76.5017926, 44.2369757], [-76.5007425, 44.2365436]], ""type"": ""LineString""}","44.236759649999996, -76.50126755"
Buffered Bike Lane,Diamond Symbol,Constructed,,1.5,"{""coordinates"": [[-76.5094752, 44.2403124], [-76.510346, 44.2407404]], ""type"": ""LineString""}","44.2405264, -76.5099106"
Route,,Approved for Construction,Cycling Lanes,,"{""coordinates"": [[-76.495555, 44.2279066], [-76.4955803, 44.22896]], ""type"": ""LineString""}","44.2284333, -76.49556765"
Bike Lane,,Approved for Construction,Development Charge Project,,"{""coordinates"": [[-76.459303, 44.2415532], [-76.4595306, 44.2422173], [-76.4597976, 44.2427945], [-76.4598676, 44.2429235], [-76.4599535, 44.2430473], [-76.4600545, 44.2431651], [-76.4601699, 44.2432757], [-76.4602987, 44.2433784], [-76.4604398, 44.2434723], [-76.4605922, 44.2435567], [-76.4607546, 44.2436308], [-76.4609258, 44.2436942], [-76.461302, 44.2438353], [-76.4615209, 44.2439223], [-76.4617278, 44.2440233], [-76.461921, 44.2441373], [-76.4620991, 44.2442634], [-76.4622605, 44.2444006]], ""type"": ""LineString""}","44.24320710658308, -76.46052645151579"
Bike Lane,,Approved for Construction,Development Charge Project,,"{""coordinates"": [[-76.4621617, 44.2463492], [-76.4616667, 44.2474141]], ""type"": ""LineString""}","44.24688165, -76.4619142"
Bike Lane,,Approved for Construction,Development Charge Project,,"{""coordinates"": [[-76.4616667, 44.2474141], [-76.4614142, 44.2479205], [-76.4612705, 44.2483095], [-76.4611842, 44.2486709], [-76.4610364, 44.2493933], [-76.4609112, 44.2500262]], ""type"": ""LineString""}","44.2486968629505, -76.46121819721466"
Bike Lane,,Approved for Construction,Development Charge Project,,"{""coordinates"": [[-76.5682853, 44.2798614], [-76.5651887, 44.2799932]], ""type"": ""LineString""}","44.2799273, -76.56673699999999"
Paved Shoulder,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4446849, 44.2925721], [-76.4452678, 44.2925053], [-76.445839, 44.2924295], [-76.4462078, 44.2923733], [-76.4468275, 44.2922483], [-76.4473477, 44.2921188], [-76.4478399, 44.2919882], [-76.4509694, 44.2911581], [-76.454148, 44.2903059], [-76.4551997, 44.2900215]], ""type"": ""LineString""}","44.291400067693374, -76.4499634037945"
Paved Shoulder,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4557754, 44.2898659], [-76.4572867, 44.2894714], [-76.460501, 44.2886214], [-76.4637507, 44.2877609], [-76.4650635, 44.2874239], [-76.4655696, 44.2872959], [-76.4657733, 44.2872461], [-76.4659832, 44.287202], [-76.4662049, 44.2871591]], ""type"": ""LineString""}","44.28849527896263, -76.46098603197122"
Buffered Bike Lane,Diamond Symbol,Constructed,,1.5,"{""coordinates"": [[-76.5087377, 44.239897], [-76.5078159, 44.2395071]], ""type"": ""LineString""}","44.23970205, -76.5082768"
Paved Shoulder,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4662049, 44.2871591], [-76.4664395, 44.2871279], [-76.4666062, 44.2871129], [-76.4668743, 44.2870923], [-76.4673155, 44.2870709], [-76.4675025, 44.2870685]], ""type"": ""LineString""}","44.28710047193204, -76.46685271919087"
Paved Shoulder,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4551997, 44.2900215], [-76.4557754, 44.2898659]], ""type"": ""LineString""}","44.2899437, -76.45548754999999"
Route,,Exists,,,"{""coordinates"": [[-76.5286924, 44.2385954], [-76.5288958, 44.23908], [-76.5290118, 44.2393343]], ""type"": ""LineString""}","44.23896596828422, -76.52884954578425"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.6108732, 44.2505986], [-76.6109335, 44.2517162]], ""type"": ""LineString""}","44.2511574, -76.61090335"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.6109363, 44.2519984], [-76.611059, 44.2546729]], ""type"": ""LineString""}","44.25333565, -76.61099765"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.6110679, 44.2549979], [-76.6111434, 44.2564868]], ""type"": ""LineString""}","44.25574235, -76.61110565"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.4994547, 44.2722024], [-76.4997209, 44.2741322], [-76.4998917, 44.2749585], [-76.5001201, 44.2757772], [-76.5004055, 44.2765862], [-76.5008143, 44.277597]], ""type"": ""LineString""}","44.274937941714676, -76.49998730315664"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.6105731, 44.2506138], [-76.6108063, 44.2546005]], ""type"": ""LineString""}","44.25260715, -76.6106897"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.4672627, 44.3016166], [-76.4671617, 44.3018845], [-76.4644908, 44.3091346], [-76.4644012, 44.3094702], [-76.4643543, 44.30981], [-76.4643505, 44.3101512], [-76.4643897, 44.3104909], [-76.4646707, 44.3118758], [-76.4647622, 44.3123618], [-76.4647907, 44.3128522], [-76.4647559, 44.3133428], [-76.4646582, 44.3138294], [-76.4644984, 44.3143078], [-76.462768, 44.3187168], [-76.4617216, 44.3212453]], ""type"": ""LineString""}","44.31145510322121, -76.46455559381073"
Route,,Constructed,,,"{""coordinates"": [[-76.5238256, 44.2205479], [-76.5225777, 44.2206124]], ""type"": ""LineString""}","44.22058015, -76.52320165"
Route,,Constructed,,,"{""coordinates"": [[-76.5200348, 44.2207437], [-76.5187874, 44.2208071]], ""type"": ""LineString""}","44.2207754, -76.5194111"
Route,,Constructed,,,"{""coordinates"": [[-76.5187874, 44.2208071], [-76.5176854, 44.2208631]], ""type"": ""LineString""}","44.2208351, -76.5182364"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.5993975, 44.2620893], [-76.6066349, 44.2632212]], ""type"": ""LineString""}","44.26265525, -76.6030162"
Paved Shoulder,,Constructed,,,"{""coordinates"": [[-76.4684103, 44.2985515], [-76.4683818, 44.2988968], [-76.4683112, 44.2992572], [-76.4681912, 44.2996111], [-76.4680229, 44.2999549], [-76.4674725, 44.3008468], [-76.4672766, 44.3012727], [-76.4672519, 44.3013475]], ""type"": ""LineString""}","44.29998192339401, -76.46792945854352"
Paved Shoulder,,Constructed,Lane Widening for Cycling Routes,1.5,"{""coordinates"": [[-76.4705892, 44.2808034], [-76.4699286, 44.2813133], [-76.4693811, 44.2817968], [-76.4684413, 44.2826724], [-76.4682637, 44.2828652], [-76.4681556, 44.2830155], [-76.4680637, 44.283241]], ""type"": ""LineString""}","44.28195505511047, -76.46924912533751"
Route,,Proposed,,,"{""coordinates"": [[-76.494739, 44.2408287], [-76.4949712, 44.2418568]], ""type"": ""LineString""}","44.24134275, -76.4948551"
Route,,Proposed,,,"{""coordinates"": [[-76.4943967, 44.2393022], [-76.4945389, 44.2399422]], ""type"": ""LineString""}","44.2396222, -76.4944678"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5294039, 44.2467873], [-76.5294389, 44.24716], [-76.5294733, 44.2477144], [-76.5295422, 44.2486871]], ""type"": ""LineString""}","44.24773696787286, -76.52947572066044"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5297198, 44.2516116], [-76.529763, 44.2522799]], ""type"": ""LineString""}","44.25194575, -76.5297414"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.529771, 44.2524533], [-76.5298123, 44.2532031]], ""type"": ""LineString""}","44.252828199999996, -76.52979164999999"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5298279, 44.2534202], [-76.5298919, 44.2545159], [-76.5299244, 44.2550725]], ""type"": ""LineString""}","44.254246349786, -76.52987615366419"
Bike Lane,Diamond Symbol,Constructed,,,"{""coordinates"": [[-76.5125496, 44.2236268], [-76.5113208, 44.223999]], ""type"": ""LineString""}","44.2238129, -76.5119352"
